"OrganizationIdentifier.x","ActivityIdentifier","ActivityStartDate","ActivityStartTime.Time","MonitoringLocationIdentifier","CharacteristicName","ResultMeasureValue.x","ResultMeasure.MeasureUnitCode.x","MeasureQualifierCode.x","ResultDetectionConditionText","ResultValueTypeName","ResultLaboratoryCommentText","DetectionQuantitationLimitTypeName","DetectionQuantitationLimitMeasure.MeasureValue","DetectionQuantitationLimitMeasure.MeasureUnitCode","ResultMeasureValue.y","ResultMeasure.MeasureUnitCode.y","MeasureQualifierCode.y","ResultSampleFractionText","strd","detect","quant","qual","set_det_limit","set_half_det_limit","set_0","half_crit","set_det_limit_excur","set_half_det_limit_excur","set_0_excur","half_crit_excur"
"OREGONDEQ","OREGONDEQ-10674-ORDEQ:201508050703:SR",2015-08-05,"07:03:00","OREGONDEQ-10674-ORDEQ","Lead","<0.20","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",25,"mg/l",NA,"Dissolved",0.544781177051544,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-10730-ORDEQ:201510261051:SR",2015-10-26,"10:51:00","OREGONDEQ-10730-ORDEQ","Lead","0.04","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",87,"mg/l",NA,"Dissolved",2.66472545899176,"","","=","0.04","0.04","0.04","0.04",0,0,0,0
"OREGONDEQ","OREGONDEQ-10768-ORDEQ:201505121537:SR",2015-05-12,"15:37:00","OREGONDEQ-10768-ORDEQ","Lead","<0.20","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",49,"mg/l",NA,"Dissolved",1.28311054016575,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-36788-ORDEQ:201510130931:SR",2015-10-13,"09:31:00","OREGONDEQ-36788-ORDEQ","Lead","0.04","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",96,"mg/l",NA,"Dissolved",3.02047845527893,"","","=","0.04","0.04","0.04","0.04",0,0,0,0
"OREGONDEQ","OREGONDEQ-10674-ORDEQ:201504070731:SR",2015-04-07,"07:31:00","OREGONDEQ-10674-ORDEQ","Lead","<0.20","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",14,"mg/l",NA,"Dissolved",0.260414673757589,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-12005-ORDEQ:201511301151:SR",2015-11-30,"11:51:00","OREGONDEQ-12005-ORDEQ","Lead","0.16","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",55,"mg/l",NA,"Dissolved",1.48636738238529,"","","=","0.16","0.16","0.16","0.16",0,0,0,0
"OREGONDEQ","OREGONDEQ-10533-ORDEQ:201503041203:SR",2015-03-04,"12:03:00","OREGONDEQ-10533-ORDEQ","Lead","0.02","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",29,"mg/l",NA,"Dissolved",0.658077608589536,"","","=","0.02","0.02","0.02","0.02",0,0,0,0
"OREGONDEQ","OREGONDEQ-12187-ORDEQ:201507081130:SR",2015-07-08,"11:30:00","OREGONDEQ-12187-ORDEQ","Lead","0.04","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",17,"mg/l",NA,"Dissolved",0.333430972847978,"","","=","0.04","0.04","0.04","0.04",0,0,0,0
"OREGONDEQ","OREGONDEQ-11483-ORDEQ:201511180803:SR",2015-11-18,"08:03:00","OREGONDEQ-11483-ORDEQ","Lead","0.02","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",37,"mg/l",NA,"Dissolved",0.897357005013293,"","","=","0.02","0.02","0.02","0.02",0,0,0,0
"OREGONDEQ","OREGONDEQ-10393-ORDEQ:201511181429:SR",2015-11-18,"14:29:00","OREGONDEQ-10393-ORDEQ","Lead","0.04","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",13,"mg/l",NA,"Dissolved",0.236970535596937,"","","=","0.04","0.04","0.04","0.04",0,0,0,0
"OREGONDEQ","OREGONDEQ-12553-ORDEQ:201510141100:SR",2015-10-14,"11:00:00","OREGONDEQ-12553-ORDEQ","Lead","<0.02","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",22,"mg/l",NA,"Dissolved",0.462965400386606,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-11494-ORDEQ:201408130727:SR",2014-08-13,"07:27:00","OREGONDEQ-11494-ORDEQ","Lead","<0.02","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",270,"mg/l",NA,"Dissolved",11.2660204290214,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-13070-ORDEQ:201410230941:SR",2014-10-23,"09:41:00","OREGONDEQ-13070-ORDEQ","Lead","<0.02","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",30,"mg/l",NA,"Dissolved",0.687099796481718,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-10423-ORDEQ:201409171431:SR",2014-09-17,"14:31:00","OREGONDEQ-10423-ORDEQ","Lead","<0.20","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",32,"mg/l",NA,"Dissolved",0.745933969272114,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-12265-ORDEQ:201409240621:SR",2014-09-24,"06:21:00","OREGONDEQ-12265-ORDEQ","Lead","<0.02","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",53,"mg/l",NA,"Total Recoverable",1.2527358889204,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-12266-ORDEQ:201409241019:SR",2014-09-24,"10:19:00","OREGONDEQ-12266-ORDEQ","Lead","0.27","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",129,"mg/l",NA,"Dissolved",4.399721268073,"","","=","0.27","0.27","0.27","0.27",0,0,0,0
"OREGONDEQ","OREGONDEQ-10929-ORDEQ:201410021418:SR",2014-10-02,"14:18:00","OREGONDEQ-10929-ORDEQ","Lead","<0.02","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",50,"mg/l",NA,"Dissolved",1.31653763394871,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-10674-ORDEQ:201412020739:SR",2014-12-02,"07:39:00","OREGONDEQ-10674-ORDEQ","Lead","<0.20","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",11,"mg/l",NA,"Dissolved",0.191574345657163,"","","<","0.2","0.1","0"," 0.10",1,0,0,0
"OREGONDEQ","OREGONDEQ-10404-ORDEQ:201504201031:SR",2015-04-20,"10:31:00","OREGONDEQ-10404-ORDEQ","Lead","<0.20","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",45,"mg/l",NA,"Dissolved",1.1512880389533,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-10521-ORDEQ:201507080915:SR",2015-07-08,"09:15:00","OREGONDEQ-10521-ORDEQ","Lead","<0.02","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",15,"mg/l",NA,"Dissolved",0.284320801948126,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-10523-ORDEQ:201503170903:SR",2015-03-17,"09:03:00","OREGONDEQ-10523-ORDEQ","Lead","<0.02","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",21,"mg/l",NA,"Dissolved",0.436344619224488,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-10414-ORDEQ:201503041023:SR",2015-03-04,"10:23:00","OREGONDEQ-10414-ORDEQ","Lead","0.02","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",53,"mg/l",NA,"Dissolved",1.41790666725155,"","","=","0.02","0.02","0.02","0.02",0,0,0,0
"OREGONDEQ","OREGONDEQ-12553-ORDEQ:201506251101:SR",2015-06-25,"11:01:00","OREGONDEQ-12553-ORDEQ","Lead","<0.02","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",20,"mg/l",NA,"Dissolved",0.410067780044371,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-10391-ORDEQ:201507071045:SR",2015-07-07,"10:45:00","OREGONDEQ-10391-ORDEQ","Lead","0.02","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",22,"mg/l",NA,"Dissolved",0.462965400386606,"","","=","0.02","0.02","0.02","0.02",0,0,0,0
"OREGONDEQ","OREGONDEQ-36788-ORDEQ:201502031003:SR",2015-02-03,"10:03:00","OREGONDEQ-36788-ORDEQ","Lead","<0.20","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",69,"mg/l",NA,"Dissolved",1.9838067112515,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-12266-ORDEQ:201505201053:SR",2015-05-20,"10:53:00","OREGONDEQ-12266-ORDEQ","Lead","<0.02","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",74,"mg/l",NA,"Dissolved",2.16858496209704,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-36788-ORDEQ:201410210857:SR",2014-10-21,"08:57:00","OREGONDEQ-36788-ORDEQ","Lead","0.06","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",82,"mg/l",NA,"Dissolved",2.47132291843242,"","","=","0.06","0.06","0.06","0.06",0,0,0,0
"OREGONDEQ","OREGONDEQ-11905-ORDEQ:201411191129:SR",2014-11-19,"11:29:00","OREGONDEQ-11905-ORDEQ","Lead","<0.02","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",26,"mg/l",NA,"Dissolved",0.572671453038902,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-10373-ORDEQ:201410201511:SR",2014-10-20,"15:11:00","OREGONDEQ-10373-ORDEQ","Lead","0.08","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",50,"mg/l",NA,"Dissolved",1.31653763394871,"","","=","0.08","0.08","0.08","0.08",0,0,0,0
"OREGONDEQ","OREGONDEQ-10332-ORDEQ:201408211250:SR",2014-08-21,"12:50:00","OREGONDEQ-10332-ORDEQ","Lead","0.02","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",30,"mg/l",NA,"Dissolved",0.687099796481718,"","","=","0.02","0.02","0.02","0.02",0,0,0,0
"OREGONDEQ","OREGONDEQ-10533-ORDEQ:201411191217:SR",2014-11-19,"12:17:00","OREGONDEQ-10533-ORDEQ","Lead","0.03","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",27,"mg/l",NA,"Dissolved",0.600856182807355,"","","=","0.03","0.03","0.03","0.03",0,0,0,0
"OREGONDEQ","OREGONDEQ-10708-ORDEQ:201408060923:SR",2014-08-06,"09:23:00","OREGONDEQ-10708-ORDEQ","Lead","<0.20","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",256,"mg/l",NA,"Dissolved",10.527710612835,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-10596-ORDEQ:201407170800:SR",2014-07-17,"08:00:00","OREGONDEQ-10596-ORDEQ","Lead","0.05","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",43,"mg/l",NA,"Dissolved",1.08655022632219,"","","=","0.05","0.05","0.05","0.05",0,0,0,0
"OREGONDEQ","OREGONDEQ-11480-ORDEQ:201408131121:SR",2014-08-13,"11:21:00","OREGONDEQ-11480-ORDEQ","Lead","<0.02","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",218,"mg/l",NA,"Dissolved",8.58024282971108,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-13433-ORDEQ:201411120951:SR",2014-11-12,"09:51:00","OREGONDEQ-13433-ORDEQ","Lead","0.03","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",30,"mg/l",NA,"Dissolved",0.687099796481718,"","","=","0.03","0.03","0.03","0.03",0,0,0,0
"OREGONDEQ","OREGONDEQ-10363-ORDEQ:201410021331:SR",2014-10-02,"13:31:00","OREGONDEQ-10363-ORDEQ","Lead","0.02","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",50,"mg/l",NA,"Dissolved",1.31653763394871,"","","=","0.02","0.02","0.02","0.02",0,0,0,0
"OREGONDEQ","OREGONDEQ-10602-ORDEQ:201505131209:SR",2015-05-13,"12:09:00","OREGONDEQ-10602-ORDEQ","Lead","<0.20","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",66,"mg/l",NA,"Dissolved",1.87466595571706,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-10458-ORDEQ:201506160943:SR",2015-06-16,"09:43:00","OREGONDEQ-10458-ORDEQ","Lead","0.08","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",58,"mg/l",NA,"Dissolved",1.59033383358824,"","","=","0.08","0.08","0.08","0.08",0,0,0,0
"OREGONDEQ","OREGONDEQ-10339-ORDEQ:201510141453:SR",2015-10-14,"14:53:00","OREGONDEQ-10339-ORDEQ","Lead","0.02","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",30,"mg/l",NA,"Dissolved",0.687099796481718,"","","=","0.02","0.02","0.02","0.02",0,0,0,0
"OREGONDEQ","OREGONDEQ-10690-ORDEQ:201501261437:SR",2015-01-26,"14:37:00","OREGONDEQ-10690-ORDEQ","Lead","<0.20","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",38,"mg/l",NA,"Dissolved",0.928344098925167,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-12187-ORDEQ:201503180853:SR",2015-03-18,"08:53:00","OREGONDEQ-12187-ORDEQ","Lead","<0.02","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",7,"mg/l",NA,"Dissolved",0.107759177430913,"","","<","0.2","0.1","0"," 0.05",1,0,0,0
"OREGONDEQ","OREGONDEQ-10662-ORDEQ:201502040731:SR",2015-02-04,"07:31:00","OREGONDEQ-10662-ORDEQ","Lead","<0.20","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",22,"mg/l",NA,"Dissolved",0.462965400386606,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-13424-ORDEQ:201503171101:SR",2015-03-17,"11:01:00","OREGONDEQ-13424-ORDEQ","Lead","<0.02","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",21,"mg/l",NA,"Dissolved",0.436344619224488,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-10414-ORDEQ:201411191031:SR",2014-11-19,"10:31:00","OREGONDEQ-10414-ORDEQ","Lead","0.02","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",50,"mg/l",NA,"Dissolved",1.31653763394871,"","","=","0.02","0.02","0.02","0.02",0,0,0,0
"OREGONDEQ","OREGONDEQ-10724-ORDEQ:201408121234:SR",2014-08-12,"12:34:00","OREGONDEQ-10724-ORDEQ","Lead","0.02","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",270,"mg/l",NA,"Dissolved",11.2660204290214,"","","=","0.02","0.02","0.02","0.02",0,0,0,0
"OREGONDEQ","OREGONDEQ-10792-ORDEQ:201410201159:SR",2014-10-20,"11:59:00","OREGONDEQ-10792-ORDEQ","Lead","<0.02","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",20,"mg/l",NA,"Dissolved",0.410067780044371,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-37723-ORDEQ:201407151520:SR",2014-07-15,"15:20:00","OREGONDEQ-37723-ORDEQ","Lead","<0.20","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",51,"mg/l",NA,"Dissolved",1.35014774939498,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-10469-ORDEQ:201410021037:SR",2014-10-02,"10:37:00","OREGONDEQ-10469-ORDEQ","Lead","0.07","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",78,"mg/l",NA,"Dissolved",2.31889397334348,"","","=","0.07","0.07","0.07","0.07",0,0,0,0
"OREGONDEQ","OREGONDEQ-10997-ORDEQ:201503030739:SR",2015-03-03,"07:39:00","OREGONDEQ-10997-ORDEQ","Lead","0.1","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",48,"mg/l",NA,"Dissolved",1.24986917631083,"","","=","0.1","0.1","0.1","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-10511-ORDEQ:201505120723:SR",2015-05-12,"07:23:00","OREGONDEQ-10511-ORDEQ","Lead","<0.20","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",30,"mg/l",NA,"Dissolved",0.687099796481718,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-31990-ORDEQ:201504230749:SR",2015-04-23,"07:49:00","OREGONDEQ-31990-ORDEQ","Lead","<0.20","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",82,"mg/l",NA,"Dissolved",2.47132291843242,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-10443-ORDEQ:201507131537:SR",2015-07-13,"15:37:00","OREGONDEQ-10443-ORDEQ","Lead","0.02","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",61,"mg/l",NA,"Dissolved",1.69577935071652,"","","=","0.02","0.02","0.02","0.02",0,0,0,0
"OREGONDEQ","OREGONDEQ-12012-ORDEQ:201504070852:SR",2015-04-07,"08:52:00","OREGONDEQ-12012-ORDEQ","Lead","<0.20","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",26,"mg/l",NA,"Dissolved",0.572671453038902,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-10506-ORDEQ:201505110923:SR",2015-05-11,"09:23:00","OREGONDEQ-10506-ORDEQ","Lead","<0.20","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",60,"mg/l",NA,"Dissolved",1.66046988855691,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-11457-ORDEQ:201512010743:SR",2015-12-01,"07:43:00","OREGONDEQ-11457-ORDEQ","Lead","0.08","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",39,"mg/l",NA,"Dissolved",0.959554634581002,"","","=","0.08","0.08","0.08","0.08",0,0,0,0
"OREGONDEQ","OREGONDEQ-11275-ORDEQ:201502031413:SR",2015-02-03,"14:13:00","OREGONDEQ-11275-ORDEQ","Lead","<0.20","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",27,"mg/l",NA,"Dissolved",0.600856182807355,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-36783-ORDEQ:201509211043:SR",2015-09-21,"10:43:00","OREGONDEQ-36783-ORDEQ","Lead","0.02","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",176,"mg/l",NA,"Dissolved",6.53404451305725,"","","=","0.02","0.02","0.02","0.02",0,0,0,0
"OREGONDEQ","OREGONDEQ-11263-ORDEQ:201411110859:SR",2014-11-11,"08:59:00","OREGONDEQ-11263-ORDEQ","Lead","0.03","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",21,"mg/l",NA,"Dissolved",0.436344619224488,"","","=","0.03","0.03","0.03","0.03",0,0,0,0
"OREGONDEQ","OREGONDEQ-10640-ORDEQ:201410231131:SR",2014-10-23,"11:31:00","OREGONDEQ-10640-ORDEQ","Lead","0.04","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",42,"mg/l",NA,"Dissolved",1.05448597855228,"","","=","0.04","0.04","0.04","0.04",0,0,0,0
"OREGONDEQ","OREGONDEQ-11020-ORDEQ:201412110849:SR",2014-12-11,"08:49:00","OREGONDEQ-11020-ORDEQ","Lead","<0.02","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",138,"mg/l",NA,"Dissolved",4.79413809408381,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-10729-ORDEQ:201408131316:SR",2014-08-13,"13:16:00","OREGONDEQ-10729-ORDEQ","Lead","<0.02","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",244,"mg/l",NA,"Dissolved",9.90356854021225,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-10690-ORDEQ:201409151519:SR",2014-09-15,"15:19:00","OREGONDEQ-10690-ORDEQ","Lead","<0.20","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",39,"mg/l",NA,"Dissolved",0.959554634581002,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-10411-ORDEQ:201412031259:SR",2014-12-03,"12:59:00","OREGONDEQ-10411-ORDEQ","Lead","<0.20","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",61,"mg/l",NA,"Dissolved",1.69577935071652,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-14434-ORDEQ:201404160800:SR",2014-04-16,"08:00:00","OREGONDEQ-14434-ORDEQ","Lead","<0.20","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",71,"mg/l",NA,"Dissolved",2.0572939103507,"","","<","0.2","0.1","0","0.1",0,0,0,0
"OREGONDEQ","OREGONDEQ-11484-ORDEQ:201411180839:SR",2014-11-18,"08:39:00","OREGONDEQ-11484-ORDEQ","Lead","0.03","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",32,"mg/l",NA,"Dissolved",0.745933969272114,"","","=","0.03","0.03","0.03","0.03",0,0,0,0
"OREGONDEQ","OREGONDEQ-13574-ORDEQ:201411200831:SR",2014-11-20,"08:31:00","OREGONDEQ-13574-ORDEQ","Lead","0.04","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",15,"mg/l",NA,"Dissolved",0.284320801948126,"","","=","0.04","0.04","0.04","0.04",0,0,0,0
"OREGONDEQ","OREGONDEQ-34019-ORDEQ:201411131229:SR",2014-11-13,"12:29:00","OREGONDEQ-34019-ORDEQ","Lead","0.02","ug/l","","","Actual","","Minimum Reporting Level",0.2,"ug/l",18,"mg/l",NA,"Dissolved",0.358596760283428,"","","=","0.02","0.02","0.02","0.02",0,0,0,0
